PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
104214000,10,MISAMIS OCCIDENTAL,2ND,SINACABAN,2015,0,0,0,0.0
104214000,10,MISAMIS OCCIDENTAL,2ND,SINACABAN,2016,0,0,0,0.0
104215000,10,MISAMIS OCCIDENTAL,2ND,TANGUB CITY,2012,6,0,0,93500.0
104215000,10,MISAMIS OCCIDENTAL,2ND,TANGUB CITY,2013,9,2,0,1373700.0
104215000,10,MISAMIS OCCIDENTAL,2ND,TANGUB CITY,2014,11,0,0,1087500.0
104215000,10,MISAMIS OCCIDENTAL,2ND,TANGUB CITY,2015,10,0,1,1210000.0
104215000,10,MISAMIS OCCIDENTAL,2ND,TANGUB CITY,2016,9,0,0,755000.0
104216000,10,MISAMIS OCCIDENTAL,2ND,TUDELA,2012,1,0,0,500000.0
104216000,10,MISAMIS OCCIDENTAL,2ND,TUDELA,2013,0,0,0,0.0
104216000,10,MISAMIS OCCIDENTAL,2ND,TUDELA,2014,3,0,0,2508000.0
104216000,10,MISAMIS OCCIDENTAL,2ND,TUDELA,2015,2,0,0,170000.0
104216000,10,MISAMIS OCCIDENTAL,2ND,TUDELA,2016,2,0,0,461000.0
104301000,10,MISAMIS ORIENTAL,2ND,ALUBIJID,2012,9,0,0,184700.0
104301000,10,MISAMIS ORIENTAL,2ND,ALUBIJID,2013,9,0,0,697500.0
104301000,10,MISAMIS ORIENTAL,2ND,ALUBIJID,2014,6,0,0,387000.0
104301000,10,MISAMIS ORIENTAL,2ND,ALUBIJID,2015,12,0,0,528500.0
104301000,10,MISAMIS ORIENTAL,2ND,ALUBIJID,2016,28,0,0,227000.0
104302000,10,MISAMIS ORIENTAL,1ST,BALINGASAG,2012,9,0,1,5036000.0
104302000,10,MISAMIS ORIENTAL,1ST,BALINGASAG,2013,7,1,0,700000.0
104302000,10,MISAMIS ORIENTAL,1ST,BALINGASAG,2014,8,0,0,1595000.0
104302000,10,MISAMIS ORIENTAL,1ST,BALINGASAG,2015,6,0,0,1532000.0
104302000,10,MISAMIS ORIENTAL,1ST,BALINGASAG,2016,31,1,0,2491000.0
104303000,10,MISAMIS ORIENTAL,1ST,BALINGOAN,2012,1,0,0,150000.0
104303000,10,MISAMIS ORIENTAL,1ST,BALINGOAN,2013,2,1,0,9508000.0
104303000,10,MISAMIS ORIENTAL,1ST,BALINGOAN,2014,2,0,0,83000.0
104303000,10,MISAMIS ORIENTAL,1ST,BALINGOAN,2015,0,0,0,0.0
104303000,10,MISAMIS ORIENTAL,1ST,BALINGOAN,2016,12,2,0,999500.0
104304000,10,MISAMIS ORIENTAL,1ST,BINUANGAN,2012,0,0,0,0.0
104304000,10,MISAMIS ORIENTAL,1ST,BINUANGAN,2013,0,0,0,0.0
104304000,10,MISAMIS ORIENTAL,1ST,BINUANGAN,2014,0,0,0,0.0
104304000,10,MISAMIS ORIENTAL,1ST,BINUANGAN,2015,2,0,0,42000.0
104304000,10,MISAMIS ORIENTAL,1ST,BINUANGAN,2016,0,0,0,0.0
104305000,10,MISAMIS ORIENTAL,LONE,CAGAYAN DE ORO CITY (CAPITAL),2012,1,0,0,55000.0
104306000,10,MISAMIS ORIENTAL,2ND,CLAVERIA,2012,3,0,1,250100.0
104306000,10,MISAMIS ORIENTAL,2ND,CLAVERIA,2013,5,0,0,140200.0
